role_ID,role_name,description
0,Volunteer,very very very very very very very very bad
1,Driver,good
2,Nurse,very very very very very very very very excellent
3,Manager,very very very very very bad
4,Manager,bad
5,Security,very very very very very very very very good
6,Supervisor,very very very very very very very very very bad
7,Manager,very very very very good
8,Secretary,very very very very very very very bad
9,Driver,very very very very very excellent
10,Paramedic,very very very very very very very very excellent
11,Paramedic,very very very very very bad
12,Receptionist,very very bad
13,Security,very very very very very very good
14,Driver,good
15,Supervisor,very excellent
16,Firefighter,very very very very very very very good
17,Soldier,very very very very very very very very very bad
18,Electrician,very excellent
19,Manager,very very very very very very very very very good
20,Security,very very very very very very very very good
21,Secretary,very very very very very very very bad
22,Security,very very bad
23,Electrician,very bad
24,Mechanic,very very very very very very very very very good
25,Electrician,very very very very very very very good
26,Pilot,very very excellent
27,Doctor,very very very very very bad
28,Driver,very excellent
29,Mechanic,very bad
30,Nurse,very good
31,Secretary,very excellent
32,Manager,very very very very very very very very very excellent
33,Electrician,very very very very excellent
34,Engineer,very very very very good
35,Soldier,very very very excellent
36,Manager,very very very very very excellent
37,Manager,very very very very very good
38,Technician,very very very very very excellent
39,Doctor,very bad
40,Police,very very very very very very very good
41,Supervisor,very very very very very very very very very excellent
42,Engineer,very very very very very bad
43,Nurse,very very very very very very very good
44,Paramedic,very very bad
45,Doctor,bad
46,Supervisor,very very very very good
47,Doctor,excellent
48,Paramedic,very very very very very very very very good
49,Secretary,very very good
50,Driver,very very very excellent
51,Doctor,very excellent
52,Manager,very very very excellent
53,Coordinator,very very very very very very very good
54,Receptionist,very very very bad
55,Guard,very very very very very very very very excellent
56,Receptionist,very very good
57,Engineer,very very very very very very very very very bad
58,Receptionist,very very bad
59,Doctor,very very very very good
60,Secretary,very very very very very bad
61,Receptionist,very excellent
62,Volunteer,very very very very very very very excellent
63,Guard,very very very very very very good
64,Manager,very very very very very very very very bad
65,Engineer,top quality
66,Volunteer,excellent
67,Engineer,very very very very very very very very very bad
68,Secretary,very very very very bad
69,Soldier,very very very very very bad
70,Security,very very very very very very very very excellent
71,Police,very very very very very very very very good
72,Volunteer,good
73,Firefighter,very very very very very very very bad
74,Mechanic,very very very excellent
75,Paramedic,very very very very very very very very bad
76,Volunteer,very very very very very very bad
77,Supervisor,very bad
78,Receptionist,very very very very very very very very very good
79,Pilot,good
80,Police,very good
81,Mechanic,top quality
82,Technician,very very very very excellent
83,Engineer,very very very very very very very very very excellent
84,Police,very very very very very very very very very bad
85,Receptionist,good
86,Engineer,very very excellent
87,Police,very very very very very very very bad
88,Police,very very very very very very very very very good
89,Coordinator,very very very very very very very excellent
90,Pilot,very very very very very very very very excellent
91,Soldier,very very very very very very very very very excellent
92,Driver,very very very very very bad
93,Supervisor,very very very very very very very good
94,Soldier,very very very very very very excellent
95,Nurse,very very very very very very very very very good
96,Pilot,very very very very very very very very excellent
97,Engineer,very very very very very very excellent
98,Pilot,very very very very very bad
99,Soldier,bad
100,Manager,very very very very very very very excellent
101,Technician,very very very very very bad
102,Volunteer,very very very very very very excellent
103,Manager,very very good
104,Pilot,very very very very very very bad
105,Paramedic,very very very very very very very very good
